Entity Name,Entity Type,Country,District Number,Projects Supported,Current Leader Name,Current Leader Role,Current Leader Email,Leadership Term,Website / Source URL
Baltimore,Club,United States,7620,"[GG2570516] Water, Sanitation, Hygiene for Vista Hermosa, Phase I; [GG2578692] Water, Sanitation, Hygiene for Vista Hermosa, Phase II",Club President,Current Club President (2025–2026),info@baltimorerotary.org,2025–2026,https://baltimorerotary.org
"Capitol Hill (Washington, DC)",Club,United States,7620,"[GG2578692] Water, Sanitation, Hygiene for Vista Hermosa, Phase II",Club President,Current Club President (2025–2026),info@capitolhillrotary.org,2025–2026,https://capitolhillrotary.org
Carroll Creek (Frederick),Club,United States,7620,"[GG2578692] Water, Sanitation, Hygiene for Vista Hermosa, Phase II",Club President,Current Club President (2025–2026),info@carrollcreekrotary.org,2025–2026,https://carrollcreekrotary.org
College Park,Club,United States,7620,"[GG2570516] Water, Sanitation, Hygiene for Vista Hermosa, Phase I",Club President,Current Club President (2025–2026),info@collegeparkrotary.org,2025–2026,https://collegeparkrotary.org
Dupont Circle Washington,Club,United States,7620,"[GG2578692] Water, Sanitation, Hygiene for Vista Hermosa, Phase II",Club President,Current Club President (2025–2026),info@dupontcirclerotary.org,2025–2026,https://dupontcirclerotary.org
Howard West,Club,United States,7620,"[GG2570516] Water, Sanitation, Hygiene for Vista Hermosa, Phase I",Club President (c/o DG Mandy Warfield Granger),Current Club President (2025–2026),office@rotary7620.org,2025–2026,https://rotary7620.org
Lake Shore-Severna Park,Club,United States,7620,"[GG2578692] Water, Sanitation, Hygiene for Vista Hermosa, Phase II",Club President (c/o DG Mandy Warfield Granger),Current Club President (2025–2026),office@rotary7620.org,2025–2026,https://rotary7620.org
Metro Bethesda,Club,United States,7620,"[GG2570516] Water, Sanitation, Hygiene for Vista Hermosa, Phase I",Club President (c/o DG Mandy Warfield Granger),Current Club President (2025–2026),office@rotary7620.org,2025–2026,https://rotary7620.org
Parole (Annapolis),Club,United States,7620,"[GG2570516] Water, Sanitation, Hygiene for Vista Hermosa, Phase I; [GG2578692] Water, Sanitation, Hygiene for Vista Hermosa, Phase II",Club President (c/o DG Mandy Warfield Granger),Current Club President (2025–2026),office@rotary7620.org,2025–2026,https://rotary7620.org
Rockville,Club,United States,7620,"[GG2578692] Water, Sanitation, Hygiene for Vista Hermosa, Phase II",Club President (c/o DG Mandy Warfield Granger),Current Club President (2025–2026),office@rotary7620.org,2025–2026,https://rotary7620.org
"Washington, D.C.",Club,United States,7620,"[GG2578692] Water, Sanitation, Hygiene for Vista Hermosa, Phase II",Club President (c/o DG Mandy Warfield Granger),Current Club President (2025–2026),office@rotary7620.org,2025–2026,https://rotary7620.org
Asheville,Club,United States,7670,[GG1985748] David Lamont School in Tzanchaj,Club President,Current Club President (2025–2026),info@rotaryasheville.org,2025–2026,https://rotaryasheville.org
Bluffton,Club,United States,7770,[GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas,Club President,Current Club President (2025–2026),info@blufftonrotary.org,2025–2026,https://blufftonrotary.org
Kennebunk,Club,United States,7780,[GG2574529] Reforesting Santiago,Club President (c/o DG Emma Bodwell),Current Club President (2025–2026),ebodwell@icloud.com,2025–2026,https://district7780.org
Portsmouth,Club,United States,7780,[GG2574529] Reforesting Santiago,Club President (c/o DG Emma Bodwell),Current Club President (2025–2026),ebodwell@icloud.com,2025–2026,https://district7780.org
Bourne-Sandwich,Club,United States,7950,[GG1415576] Potable Water for Multiple Communities (Sawyer Filters),Club President (c/o DG Nicole Brien),Current Club President (2025–2026),dg@rotary7950.com,2025–2026,https://rotary7950.com
Hingham,Club,United States,7950,[GG1415576] Potable Water for Multiple Communities (Sawyer Filters),Club President,Current Club President (2025–2026),info@hinghamrotary.org,2025–2026,https://hinghamrotary.org
